title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
55 Years In Five Acts: My Life In Opera,,['Music'],"For Astrid Varnay, opera was the family business. The daughter of coloratura soprano Maria Javor and dramatic tenor Alexander Varnay, she literally grew up backstage at the opera. Vocally and musically trained by her mother and mentor (and later husband) Hermann Weigert, she was just twenty-three years old when she made her unofficial debut at the Metropolitan Opera as a last-minute replacement for the suddenly ill Lotte Lehmann. Varnay's critically acclaimed performance as Sieglinde in Die Walkure catapulted her into the limelight.Varnay reflects on her remarkable life in opera, discussing her signature roles and performances, vocal preparation and technique, interpretive acting style, and her seamless transition from leading soprano to character roles, including her switch from Elektra to Klytemnastra in Strauss's Elektra.Her engaging and witty memoir is filled with frank, often critical, observations about many of the most significant vocal artists, conductors, and directors of the twentieth century. She describes her lifelong friendship with operatic idol Kirsten Flagstad, the years at the Met and conflicts with Rudolf Bing, her appearances at the Bayreuth and Salzburg Festivals, and her artistic rift with Herbert von Karajan.",,,11/30/00,June 1st 2007,[],Paperback,,9781555536756,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348581740l/4582044.jpg,4.25,[],68.0,1.0,,,,94.0,16.0,363,Northeastern University Press,"['8', '5', '2', '1', '0']",,[],,"['Astrid Varnay', 'Donald Arthur']"
50 Philosophy Ideas You Really Need to Know,,"['Philosophy', 'Nonfiction', 'Reference', 'Science', 'History', 'Psychology', 'Education', 'Audiobook', 'Self Help', 'Unfinished']","Have you ever lain awake at night fretting over how we can be sure of the reality of the external world? Perhaps we are in fact disembodied brains, floating in vats at the whim of some deranged puppet-master? If so, you are not alone - and what's more, you are in exalted company. For this question and other ones like it have been the stuff of philosophical rumination from Plato to Popper. In a series of accessible and engagingly written essays, ""50 Philosophy Ideas You Really Need to Know"" introduces and explains the problems of knowledge, consciousness, identity, ethics, belief, justice and aesthetics that have engaged the attention of thinkers from the era of the ancient Greeks to the present day.",50 Ideas You Really Need to Know ,,10/30/07,February 1st 2008,[],Hardcover,,9781847240064,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347233860l/2142887.jpg,3.7,[],100.0,1.0,,,,90.0,1367.0,208,Querclus Publishing Plc,"['292', '534', '408', '101', '32']",,[],,['Ben Dupré']
50 فكرة يجب أن تعرفها عن الأفكار العظيمة,,"['Philosophy', 'Nonfiction', 'Science', 'Reference', 'History', 'Politics', 'Psychology', 'Self Help', 'Art', 'Trivia']","كتاب ""50 فكرة يجب أن تعرفها عن الأفكار العظيمة""، من تأليف بن دوبريه، وترجمة نهى بهمن ومحمد أحمد شيخون. ويعد الكتاب جزء من سلسلة ""خمسين فكرة يجب أن تعرفها عن...""، والتي تناقش في كل كتاب تخصص معين في المعارف العامة. ويناقش الكتاب أفكار في الفلسفة والأديان والاقتصاد والسياسة والعلوم مما يعتبره الكاتب أفكارا غيرت العالم. وتميز الكتاب بفكرة الخط الزمني لنمو كل فكرة من الأفكار، وأيضًا تميز بإفراد الاقتباسات المهمة على جانب الصفحة بخط عريض. والكتاب مصمم بطريقة التصميم الشجري في الشكل العام بدلًا عن الطريقة السردية.",50 Ideas You Really Need to Know ,,01/01/09,,[],ebook,,9781848660090,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526824451l/40181531._SX318_.jpg,3.65,[],94.0,1.0,,,,88.0,398.0,,,"['86', '148', '115', '35', '14']",,[],,['Ben Dupré']
50 Great Curries of India 10th Anniversary Ed.,,Cooking,"Collects various dishes from all over India - from the classic Goa Lamb Vindaloo to the exotic Gujarat Mango and Yogurt Curry. This book features: the philosophy of Indian food; what exactly is a curry; using spices, herbs and chillies; and, planning an Indian meal and suggested menus. The secret to creating authentic Indian curries at home lies within these fabulous pages. A feast for the senses, this mini format of 50 Great Curries of India is the world's best-selling curry book. It explains how to add taste, aroma and colour to create that perfect curry. Dishes are collected from all over India - from the classic Goa Lamb Vindaloo to the more exotic Gujarat Mango and Yogurt Curry and all are accompanied by tantalising photography to inspire and excite. Other features of the book include the philosophy of Indian food, using spices, herbs and chillies, planning an Indian meal and suggested menus. This revised edition comes with more recipes than ever and full colour photography throughout.",,,,2005.0,,,1904920357,9781904920359,,http://books.google.com/books/content?id=h9JfSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,,,,,,,,,224.0,,,197.0,,,['Camellia Panjabi']
5 cm,,"['Novels', 'Indonesian Literature', 'Fiction', 'Adventure', 'Romance', 'Travel', 'Young Adult', 'Drama', 'Inspirational', 'Contemporary']","Bestseller book di Gramedia Bookstore selama 2 tahun berturut-turut!Lima sahabat telah menjalin persahabatan selama tujuh tahun. Mereka adalah Arial yang paling tampan, Riani sebagai satu-satunya wanita dalam kelompok itu, Zafran yang berlagak seperti seorang penyair, Ian yang paling subur badannya, dan Genta yang dianggap sebagai leader dalam kelompok itu. Kegemaran mereka adalah mengeksekusi hal-hal yang tidak mungkin dan mencoba segala hal, mulai dari kafe paling terkenal di Jakarta, sampai nonton layar tancap. Semuanya penggemar film, dari film Hollywood sampai film yang nggak kelas—kecuali film India karena mereka punya prinsip bahwa semua persoalan di dunia atau masalah pasti ada jalan keluarnya, tapi bukan dalam bentuk joget.Suatu saat, karena terdorong oleh rasa bosan di antara satu dan yang lain, mereka memutuskan untuk tidak saling berkomunikasi dan bertemu satu sama lain selama tiga bulan. Selama tiga bulan berpisah itulah telah terjadi banyak hal yang membuat hati mereka lebih kaya dari sebelumnya. Pertemuan setelah tiga bulan yang penuh dengan rasa kangen akhirnya terjadi dan dirayakan dengan sebuah perjalanan. Sebuah perjalanan yang penuh dengan keyakinan, mimpi, cita-cita, dan cinta. Sebuah perjalanan yang telah mengubah mereka menjadi manusia sesungguhnya, bukan Cuma seonggok daging yang bisa berbicara, berjalan, dan punya nama.“Ada yang pernah bilang kalau idealisme adalah kemewahan terakhir yang dimiliki oleh generasi muda….”  ",,,,2005,[],Paperback,,9789797591519,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472231689l/1499340.jpg,3.86,[],561.0,6.0,,,,88.0,14084.0,381,Grasindo,"['4820', '4559', '3074', '1160', '471']",,[],,['Donny Dhirgantoro']
52 Pickup,,"['Fiction', 'Crime', 'Mystery', 'Thriller', 'Noir', 'Suspense', 'Mystery Thriller', 'Novels', 'Detective', 'The United States Of America']","Detroit businessman Harry Mitchell is a self-made man, happily married for over twenty-two years and a pillar of the community. But then he slips--he meets a young ""model"" and begins an affair. One night he arrives at his girlfriend's apartment and finds more than he bargained for. Two masked men have caught his misdemeanors on camera and now they want a cool hundred grand. But they've picked the wrong man, because Harry Mitchell doesn't get mad--he gets even.",,,11/06/74,March 17th 2005,['Harry Mitchell'],Paperback,,9780753819623,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349046519l/288995.jpg,3.94,[],62.0,1.0,,,,96.0,7108.0,212,Phoenix,"['1986', '3083', '1735', '235', '69']",,[],,['Elmore Leonard']
500 Great Books By Women,,"['Books About Books', 'Nonfiction', 'Reference', 'Feminism', 'Womens', 'Anthologies', 'Writing', 'Literature', 'Literary Criticism', 'Essays']","Here is an articulate guide to more than 500 books written by women, a unique resource that allows readers the joy of discovering new authors as well as revisiting familiar favorites. Organized by such themes as Art, Choices, Families, Growing Old, Growing Up, Places and Homes, Power, and Work, this reference book presents classic and contemporary works, from Lady Nijo's thirteenth-century diaries to books by authors including Toni Morrison, Alice Hoffman, Nadine Gordimer, and Isabel Allende. With annotated entries that capture the flavor of each book and seven cross-referenced indexes, 500 Great Books by Women is a one-of-a-kind guide for all readers and book lovers that celebrates and recommends some of the very best writing by women.",,,,1994,[],Paperback,,9780140175905,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438987789l/1503057._SY475_.jpg,3.88,[],97.0,1.0,,,,91.0,170.0,425,Penguin,"['52', '65', '37', '13', '3']",,[],,"['Erica Bauermeister', 'Holly Smith', 'Jesse Larsen']"
50 Reasons People Give for Believing in a God,,"['Religion', 'Nonfiction', 'Atheism', 'Philosophy', 'Science', 'Spirituality', 'Skepticism', 'Psychology', 'God', 'Essays']","For skeptics looking for appealing ways to approach their believing friends or believers who are not afraid to consider a skeptical challenge, this book makes for very stimulating reading. Many books that challenge religious belief from a skeptical point of view take a combative tone that is almost guaranteed to alienate believers or they present complex philosophical or scientific arguments that fail to reach the average reader.This is undoubtably an ineffective way of encouraging people to develop critical thinking about religion. This is a unique approach to skepticism regarding that presents fifty commonly heard reasons people often give for believing in a God and then he raises legitimate questions regarding these reasons, showing in each case that there is much room for doubt.Whether you're a believer, a complete skeptic, or somewhere in between, you'll find this review of traditional and more recent arguments for the existence of God refreshing, approachable, and enlightening. From religion as the foundation of morality to the authority of sacred books, the compelling religious testimony of influential people, near-death experiences, arguments from Intelligent Design, and much more, Harrison respectfully describes each rationale for belief and then politely shows the deficiencies that any good skeptic would point out. As a journalist who has traveled widely and interviewed many highly accomplished people, quite a number of whom are believers, the author appreciates the variety of belief and the ways in which people seek to make religion compatible with scientific thought. Nonetheless, he shows that, despite the prevalence of belief in gods or religious belief in intelligent people, in the end there are no unassailable reasons for believing in a god.",,,06/05/08,,[],Kindle Edition,,9781591025672,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328336216l/6652033.jpg,3.96,[],71.0,1.0,,,,91.0,1851.0,354,,"['699', '605', '378', '110', '59']",,[],,['Guy P. Harrison']
500 Miles from You,,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Scotland', 'Audiobook', 'Adult Fiction', 'Adult', 'Contemporary Romance', 'British Literature']","New York Times bestselling author Jenny Colgan returns to the beloved Scottish Highland town of Kirrinfief, which readers first met in The Bookshop on the Shore, and adds a dash of London’s bustling urban landscape. 
  
 Lissie, is a nurse in a gritty, hectic London neighborhood. Always terribly competent and good at keeping it all together, she’s been suffering quietly with PTSD after helping to save the victim of a shocking crime. Her supervisor quietly arranges for Lissie to spend a few months doing a much less demanding job in the little town of Kirrinfeif in the Scottish Highlands, hoping that the change of scenery will help her heal. Lissie will be swapping places with Cormack, an Army veteran who’s Kirrinfeif’s easygoing nurse/paramedic/all-purpose medical man. Lissie’s never experienced small-town life, and Cormack’s never spent more than a day in a big city, but it seems like a swap that would do them both some good.  In London, the gentle Cormack is a fish out of the water; in Kirrinfief, the dynamic Lissie finds it hard to adjust to the quiet. But these two strangers are now in constant contact, taking over each other’s patients, endlessly emailing about anything and everything. Lissie and Cormack discover a new depth of feeling…for their profession and for each other.  But what will happen when Lissie and Cormack finally meet…?",Scottish Bookshop #3,,,June 9th 2020,"['Lissa Westcott', 'Cormac MacPherson', 'Jake Inglis', 'Kim-Ange', 'Kai Mitchell', 'Mrs. Mitchell', 'Mergim Kavaja', 'Dr Joan Davenport', 'Islay Coudrie', 'Gregor & Elspeth Coudrie', 'Bridie MacPherson', 'Ginty MacGuire', 'Emer.', 'Mrs. Murray']",Kindle Edition,,9780062911247,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577761140l/48748054.jpg,3.92,[],100.0,1.0,,,,95.0,4994.0,288,William Morrow Paperbacks,"['1362', '2156', '1228', '209', '39']",,"['Kirrinfief, Scotland (United Kingdom)', 'London, England']",,['Jenny Colgan']
52 Reasons to Hate My Father,,"['Young Adult', 'Contemporary', 'Romance', 'Chick Lit', 'Realistic Fiction', 'Humor', 'Young Adult Contemporary', 'Teen', 'Family', 'Fiction']","
  Being America’s favorite heiress is a dirty job, but someone’s gotta do it.
Lexington Larrabee has never to work a day in her life. After all, she’s the heiress to the multi-billion-dollar Larrabee Media empire. And heiresses are not supposed to work. But then again, they’re not supposed to crash brand new Mercedes convertibles into convenience stores on Sunset Blvd either.Which is why, on Lexi’s eighteen birthday, her ever-absent, tycoon father decides to take a more proactive approach to her wayward life. Every week for the next year, she will have to take on a different low-wage job if she ever wants to receive her beloved trust fund. But if there’s anything worse than working as a maid, a dishwasher, and a fast-food restaurant employee, it’s dealing with Luke, the arrogant, albeit moderately attractive, college intern her father has assigned to keep tabs on her.In a hilarious “comedy of heiress” about family, forgiveness, good intentions, and best of all, second chances, Lexi learns that love can be unconditional, money can be immaterial, and, regardless of age, everyone needs a little saving. And although she might have 52 reasons to hate her father, she only needs one reason to love him.",,,,July 3rd 2012,"['Richard Larrabee', 'Luke Carver', 'Rolando Castano', 'Lexington Larrabee']",Hardcover,,9780374323035,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344448228l/9791906.jpg,3.86,[],294.0,3.0,,,,91.0,5041.0,352,"Farrar, Straus & Giroux","['1557', '1798', '1228', '320', '138']",,"['Los Angeles, California (United States)']",,['Jessica Brody']
50 Physics Ideas You Really Need to Know,,"['Science', 'Nonfiction', 'Physics', 'Reference', 'Education', 'Mathematics', 'History', 'Popular Science', 'Geek']","In this book, Joanne Baker unravels the complexities of 20th-century scientific theory for a general readership. She explains ideas at the cutting-edge of scientific enquiry, making them comprehensible and accessible to the layperson.",50 Ideas You Really Need to Know ,,11/06/07,February 1st 2008,[],Hardcover,,9781847240071,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347235524l/2458709.jpg,3.87,[],79.0,1.0,,,,94.0,793.0,208,Quercus,"['209', '331', '209', '32', '12']",,[],,['Joanne Baker']
500 Words or Less,,"['Young Adult', 'Poetry', 'Contemporary', 'Realistic Fiction', 'Fiction', 'Teen', 'High School', 'Romance', 'Coming Of Age', 'Audiobook']","A high school senior attempts to salvage her reputation among her Ivy League–obsessed classmates by writing their college admissions essays and in the process learns big truths about herself in this mesmerizing debut novel-in-verse, perfect for fans of Gayle Forman and Sonya Sones.Nic Chen refuses to spend her senior year branded as the girl who cheated on her charismatic and lovable boyfriend. To redefine her reputation among her Ivy League–obsessed classmates, Nic begins writing their college admissions essays. But the more essays Nic writes for other people, the less sure she becomes of herself, the kind of person she is, and whether her moral compass even points north anymore. Provocative, brilliant, and achingly honest, 500 Words or Less explores the heartbreak and hope that marks the search for your truest self.",,,,September 25th 2018,[],Kindle Edition,,9781534410442,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536428912l/41741010._SY475_.jpg,3.52,['Colorado Book Award Nominee for Young Adult Literature (2019)'],100.0,1.0,,,,86.0,878.0,384,Simon Pulse,"['155', '280', '324', '106', '13']",,[],,['Juleah del Rosario']
53 Letters for My Lover,,"['Romance', 'Contemporary Romance', 'Contemporary', 'Adult', 'Erotica', 'Abuse', 'Drama', 'New Adult', 'Fiction', 'Chick Lit']","This is not your typical love story. It’s not so black and white. Lines are crossed. Walls are smashed. Good becomes bad. Bad becomes very, very good.Shayda Hijazi—the perfect wife, the perfect mother, the perfect daughter. For thirty-three years, she has played by the rules, swallowing secrets, burying dreams and doing whatever it takes to anchor her family. Shayda Hijazi is about to come face to face with the one thing that can rip it all apart, the one thing her heart has always been denied: Love.Troy Heathgate—untamed, exhilarating, dangerous—a man who does exactly as he pleases. Life bends to his will. Until he comes across the one thing he would give it all up for, but can never have.Born on the same day in opposite corners of the world, their lives collide. And nothing is ever the same again. Spanning three decades, 53 Letters for My Lover is a fiercely sensual, emotional ride to the heart of an epic, forbidden love that defies it all—an intimate exploration of love, loyalty, passion, betrayal, and the human journey for hope, happiness and redemption.***Indie Reader ""Best Books of 2014""***
  Contemporary women's fiction: Ages 18+
",53 Letters for My Lover #1,,05/17/14,June 17th 2014,[],Kindle Edition,,B00KZQ2SPO,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402617767l/22449572.jpg,4.26,[],179.0,2.0,,,,95.0,2812.0,396,Pitch73 Publishing,"['1447', '866', '346', '97', '56']",,[],,['Leylah Attar']
50 Hours,,[],"Franco Allessi is a broken, lonely man who wants nothing more than to outrun the ghosts of his past. For years, he tries to numb the pain of his wife's death with cheap beer and whiskey. When he's convicted of drunk driving, the judge revokes his license for six months and orders him to serve fifty hours of community service. Franco chooses Savannah Falls Hospice for no reason other than it's walking distance from his dilapidated house trailer. On his first day on the job, he meets Aubrey Brewer, a woman whose time on earth is quickly ticking to a stop. Their unusual connection teaches powerful, life-changing lessons about friendship, acceptance, and the importance of appreciating that precious treasure called Life.",,,,June 30th 2017,[],Paperback,,9781946329349,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496423315l/35287817.jpg,4.68,[],97.0,1.0,,,,97.0,38.0,288,Progressive Rising Phoenix Press,"['30', '5', '2', '1', '0']",,[],,['Loree Lough']
5 Centimeters per Second,,"['Manga', 'Romance', 'Graphic Novels', 'Fiction', 'Contemporary', 'Young Adult', 'Comics', 'Seinen', 'Japan', 'Japanese Literature']","Based on the Multiple Award Winning FilmRemember a time before cell phones could be found in every pocket? Or when even accessing the world wide web was something only readily available in a library? Back then letters still filled up postboxes and moments just felt so much more precious when captured on Polaroid film. Now life seems to move at the speed of light. Our memories are captured and shared with the world on social media platforms. And love, which is already capricious, can feel like it is moving at terminal velocity.In Makoto Shinkai’s defining work, the internationally renowned director and animator unfolds a love story that is as timeless as it is fleeting. Yukiko Seike’s rendition of this modern classic adds a new level of emotion and intimacy that is unique to its source material.",秒速5センチメートル / Byousoku 5 Centimeter #1-2,,11/14/07,June 26th 2012,[],Paperback,,9781932234961,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357327866l/13153400.jpg,4.03,[],195.0,1.0,,,,93.0,3407.0,464,Vertical,"['1301', '1202', '668', '184', '52']",,['Tokyo (Japan)'],,"['Makoto Shinkai', 'Yukiko Seike', 'Melissa Tanaka']"
500 Steve Pavlina Quotes,,[],"500 Steve Pavlina Quotes is a wonderful collection of the best inspirational quotes I could find.Yet, this is not a simple quotes e-book. It is more like an unusual guide that's like a friend who keeps telling you, ""You can't give up. You have it in you.""This is because the quotes in the e-book are bold and powerful and more like ""pushers"" who keep pushing you in the right direction rather than quotes that you can read for pleasure and forget about.When you are feeling low...""Stop pretending you aren't awesome. Your low self-esteem act is too fake to be believable.""""Make a positive new decision and start taking action, and a newfound sense of optimism will enter your life within the hour.""""One of the secrets of success is recognizing that motivation follows action.""When you have a career problem...""If you want to do enjoyable work, commit to it. Decline work you don't enjoy regardless of $. Make it mandatory to excel at what you enjoy.""""The only person who can step it up is you. Do you want to keep living at your current level, or are you ready to level up?""""To dump a job you don't absolutely love is to give up nothing, regardless of how much money you're making or how many years you've invested in it.""When you have a relationship problem...""If you have trouble connecting with people on the outside, it maybe because you aren't communing with yourself on the inside""""Don't wait - initiate. When in doubt about who should take the next step to reveal something deeply personal, you go first. Prove to life, the universe, and your partner that you're willing to take a risk and that you're willing to trust. Magical things will happen when you do that.""""It's not the end of the world if someone doesn't want to connect with you. No matter how weird or broken you think you are (or how cold other people think you are), many people would enjoy your company.""The point is, this e-book will be like a guide you can refer to everyday to regain your self-belief at the end of the day and think, ""Let me keep going. I have it in me.""At times, this e-book also confronts you and helps you lovingly face the parts of you that you may have been denying - this denial blocks success at times.There are four bonus gifts that are inside the e-book.1) 20 Must-read quotes that should be read everyday.2) 20 Ways to make use of quotes in your daily life3) Access to a week long e-course called 'Rock Your World With 7 Booster Emails!'4) Access to an inspirational screensaverBe inspired!",,,,September 7th 2012,[],ebook,,1230000017016,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347349402l/16002669.jpg,3.67,[],100.0,1.0,,,,67.0,3.0,189,Meghashyam Chirravoori,[],,[],,"['Meghashyam Chirravoori', 'Krupa Chirravoori']"
50 Shades of Gray Matter #1,,"['Zombies', 'Fiction']","Book 1 Excerpt Ultimately, I think it was the traffic that got to me. To be blunt, zombies can't drive.And, I live in Atlanta-- people here started off being really, really crappy drivers. And adding in the effects of ZBF [zombie bird flu]-- the blurred vision, inconsistent eye-hand coordination, and a cerebral cortex shriveled like Hitler's testicle on an Arctic expedition-- you've got a traffic jam that encircles the city, cuts through the city and clogs up most streets downtown. Yet, while it was the 24/7 bumper-to-bumper traffic that put me over the edge, I have to admit, it's really the globe-wide traffic jams-- with undead motorists honking, growling, and giving whatever fingers that might be left to other zombie motorists-- that have allowed the few remaining uninfected to avoid, so far, being summarily attacked and eaten. Many of them, the survivors, I understand, have gone to Canada. Think of how that must frustrate the Canadian tourism industry to no end! All those print ads and broadcast campaigns about skiing and fresh air and ""darn good fishing""? What a waste! Turns out, they had it all wrong.  Here's your big winner: ""Come to Canada. Zombies don't do winter."" So, then, what about those of us who are no longer pure human? We must ask ourselves, we who have begun ""the turn,"" What's our future like? Okay, there isn't one. That's the thought that led me to a local pharmacy-- drunk and infected, already starting to turn, and seeking enough painkillers to punch my ticket for the way out. I was nearly undead and wanted to die.  But, it didn't turn out that way. It didn't turn out that way at all.* * * The series was formally known as 50 SHADES OF GRAY MATTER but with continued and ongoing confusion, that title is now the the subtitle of this series.",The Swordsman #1,,,August 26th 2012,[],Kindle Edition,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347109952l/15958209.jpg,3.52,[],99.0,1.0,,,,73.0,380.0,32,,"['139', '76', '63', '46', '56']",,[],,['Pat Connid']
5001 Nights at the Movies,,"['Film', 'Reference', 'Nonfiction', 'Media Tie In', 'Literary Criticism', 'Criticism']","
  Smart, funny, and unforgettable, Pauline Kael is the most interesting and influential film critic in America. Her ability to skewer an actor or director and her wit, insight, and thorough knowledge of the film business make her by far the most rewarding regular observer of the movie scene. This new collection covers films that have come out since the previous 1985 edition.
",The Film Writings,,11/06/82,May 15th 1991,[],Paperback,,9780805013672,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388290545l/41360.jpg,4.27,[],91.0,1.0,,,,96.0,304.0,960,Holt Paperbacks,"['145', '110', '37', '9', '3']",,[],,['Pauline Kael']
5 Days FREE of Depression Anxiety and Panic Attacks,,['Mental Health'],"As someone whose life has been focused on working in recovery, first within the medical system, and the last 25 years within LAMB Ministers (a work born of faith in the healing balm of Gods Word and prayer),I have never read anything so real, so riveting, so compelling as this small book is. From the moment I began, I realized that author Rhonda Patton's goal in sharing her journey from fright to light, from house bound to breaking free, from agony to peace in Christ was written for only one purpose, which we read in James 5:16, ""...The prayer of a righteous person is powerful and effective,"" which is her heart cry so simply said, and I paraphrase. ""That you would not have to go through what she did.""I echo her concern and truly hope no mater whether you think your troubles or you are of no account, reading this book can begin your person journey to freedom.Paula Rose Michelson is the author of Casa de Naomi: The House of Blessing, Books 1&2, and The Naomi Chronicles, Book One, Beginning Anew due to release February 2014.",,,,September 2013,[],Paperback,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380748311l/18622163.jpg,4.96,[],89.0,1.0,,,,100.0,23.0,26,,"['22', '1', '0', '0', '0']",,[],,['Rhonda Patton']
5000 Nights at the Opera,,"['Music', 'Nonfiction', 'Biography', 'Autobiography', 'Memoir']",,,,,January 1st 1972,[],Hardcover,,9780385092593,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1202607491l/592714.jpg,4.06,[],72.0,1.0,,,,94.0,66.0,360,Not Avail,"['26', '23', '13', '3', '1']",,[],,['Rudolf Bing']
50 Things You're Not Supposed to Know: Volume 2,,"['Nonfiction', 'Politics', 'History', 'Trivia', 'Reference', 'Conspiracy Theories']","Ever feel like you're being kept in the dark? Do you feel like the facts and history you rely on might not be the truth, the whole truth and nothing but?Just in time for 2004's Christmas parties and other holiday get-togethers, Russ Kick delivers a second round of stunning information, forgotten facts and hidden history. The first volume was the gift to give and get for the holiday season of 2003; surprising, shocking and controversial, the ""things"" in Volume 2 will make 2004's holiday parties sizzle with debate over Kick's revelations-all thoroughly researched and documented.Sized for quick reference, filled with facts, illustrations, and graphic evidence of lies and misrepresentations, 50 Things You're Not Supposed to Know-Volume 2 presents the vital, often omitted details on human health hazards, government lies, and secret history and warfare excised from your schoolbooks and nightly news reports.Russ Kick and The Disinformation Company have published five successful books together since 2001. Each one has become a bestseller, establishing Russ as the leader in gathering and disseminating the hidden history, forgotten facts, secret stories and covert cover-ups that ""they"" don't want you to know!Russ Kick is the editor of Abuse Your Illusions: The Disinformation Guide to Media Mirages and Establishment Lies; Everything You Know Is Wrong: The Disinformation Guide to Secrets and Lies; and You Are Being Lied To: The Disinformation Guide to Media Distortion, Historical Whitewashes and Cultural Myths. He is the author of 50 Things You're Not Supposed To Know and The Disinformation Book of Lists.",,,,November 1st 2004,[],Kindle Edition,,9781932857023,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385659073l/19025951.jpg,3.72,[],70.0,1.0,,,,92.0,130.0,128,Disinformation Books,"['29', '49', '41', '9', '2']",,[],,['Russ Kick']
55 Celebrities With Anxiety: The Secret Weapon Cure That Is Being Concealed,,[],"55 Celebrities That Have Anxiety: The Secret Weapon Cure That Is Being Concealed, will transform your life forever. There is no other source available that will reveal these hidden truths to you. You will winningly discover which things to avoid that cause and trigger anxiety. You will also be thunderbolted at what you will learn to kick that anxiety to the curb once and for all. A definite go-to spring of relief for anyone that is battling with anxiety or panic attacks. Now is the time to revitalize your life.",,,,March 24th 2019,[],Paperback,,9781091418011,,,4.97,[],568.0,6.0,,,,99.0,236.0,28,Independently Published,"['234', '0', '0', '1', '1']",,[],,['Sharon Storm']
50 Mathematical Ideas You Really Need to Know,,"['Nonfiction', 'Science', 'Mathematics', 'Reference', 'Popular Science', 'Education', 'Unfinished', 'Academic', 'Philosophy', 'History']","Who invented zero? Why are there 60 seconds in a minute? Can a butterfly's wings really cause a storm on the far side of the world? In 50 concise essays, Professor Tony Crilly explains the mathematical concepts that allow use to understand and shape the world around us.",50 Ideas You Really Need to Know ,,11/06/07,May 1st 2008,[],Hardcover,,9781847240088,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347240513l/2578114.jpg,3.77,[],85.0,1.0,,,,91.0,982.0,208,Quercus,"['246', '360', '291', '71', '14']",,[],,['Tony Crilly']
